date,treatment,rain,tmax,tmin,srad,tmean
07/15/1961,PGRO,0,23.5,13.1,9.612060306,18.3
07/16/1961,PGRO,0,24.4,9,8.41056954,16.7
07/17/1961,PGRO,0,25.2,7.6,12.57701386,16.4
07/18/1961,PGRO,0,25.3,10.9,11.87739118,18.1
07/19/1961,PGRO,0,24,6.8,11.59051558,15.4
07/20/1961,PGRO,0,27,12.8,11.46988484,19.9
07/21/1961,PGRO,0,26.6,10.7,12.52302542,18.65
07/22/1961,PGRO,0,20.8,8.3,12.40712859,14.55
07/23/1961,PGRO,0,22.8,2.3,11.19368768,12.55
07/24/1961,PGRO,0,24.4,4.4,10.56536223,14.4
07/25/1961,PGRO,0,25.7,5.2,10.01812879,15.45
07/26/1961,PGRO,0,23.8,9.7,9.638228523,16.75
07/27/1961,PGRO,0,15.2,10.7,12.08687972,12.95
07/28/1961,PGRO,0,17.2,7.4,13.35049751,12.3
07/29/1961,PGRO,0,16.8,8.6,13.32798053,12.7
07/30/1961,PGRO,0,19.3,7.3,12.4373513,13.3
07/31/1961,PGRO,0,22.7,6,12.93565518,14.35
08/01/1961,PGRO,0,21.4,3.8,13.00081749,12.6
08/02/1961,PGRO,0,20.3,10,12.45104318,15.15
08/03/1961,PGRO,0,23.2,6.2,11.54324013,14.7
08/04/1961,PGRO,0,24.6,2.7,12.75914774,13.65
08/05/1961,PGRO,0,25.1,3.4,11.31006845,14.25
08/06/1961,PGRO,0,27.6,6.4,12.44724095,17
08/07/1961,PGRO,0,26.9,4.9,10.08349943,15.9
08/08/1961,PGRO,0,24.2,6.8,13.94020538,15.5
08/09/1961,PGRO,0,22.2,8.5,12.19800402,15.35
08/10/1961,PGRO,0,25.2,10.6,13.08793813,17.9
08/11/1961,PGRO,0,25.1,4.8,13.9865036,14.95
08/12/1961,PGRO,0,23.1,12.4,9.546039159,17.75
08/13/1961,PGRO,0,27,9.1,10.62165016,18.05
08/14/1961,PGRO,0,24.8,9.2,11.14911478,17
08/15/1961,PGRO,0,21.2,12.7,12.4300128,16.95
08/16/1961,PGRO,0,21.9,10.7,8.929446341,16.3
08/17/1961,PGRO,0,24,5.6,10.87304057,14.8
08/18/1961,PGRO,0,27,9.3,14.25908806,18.15
08/19/1961,PGRO,0,22.2,8.9,12.81388717,15.55
08/20/1961,PGRO,0,22.7,13.4,13.17523814,18.05
08/21/1961,PGRO,0,24.4,7.2,13.73240868,15.8
08/22/1961,PGRO,0,22.8,12.2,9.0693166,17.5
08/23/1961,PGRO,4.2,21.2,11.9,9.319665158,16.55
08/24/1961,PGRO,0,25.6,12.3,7.911260509,18.95
08/25/1961,PGRO,5,29.8,12.6,14.34261797,21.2
08/26/1961,PGRO,0,25.5,10.6,12.74682593,18.05
08/27/1961,PGRO,0,29.8,15.7,15.79338767,22.75
08/28/1961,PGRO,0,27,20.1,9.308811257,23.55
08/29/1961,PGRO,13.2,30.6,15.8,13.16734792,23.2
08/30/1961,PGRO,0,22.5,14,13.94564203,18.25
08/31/1961,PGRO,0,26.4,12,14.73056245,19.2
09/01/1961,PGRO,0,22.7,14.6,10.85532466,18.65
09/02/1961,PGRO,0,27.5,15.9,13.9759784,21.7
09/03/1961,PGRO,0,29.4,19.1,15.79354342,24.25
09/04/1961,PGRO,0,30.6,16.7,16.70117464,23.65
09/05/1961,PGRO,6.2,24.3,16.4,12.86409908,20.35
09/06/1961,PGRO,20,18,11.4,11.68979841,14.7
09/07/1961,PGRO,12,16,10.8,11.02550315,13.4
09/08/1961,PGRO,0,19.2,12.2,13.91350076,15.7
09/09/1961,PGRO,0,24,12.5,14.19765987,18.25
09/10/1961,PGRO,38,27.6,13.4,8.782717788,20.5
09/11/1961,PGRO,0,17,13.8,11.27215465,15.4
09/12/1961,PGRO,51.6,22.1,13.7,10.37525515,17.9
09/13/1961,PGRO,0,25.4,13.7,14.81466121,19.55
09/14/1961,PGRO,0,27.4,15.5,13.2793367,21.45
09/15/1961,PGRO,0,28.7,16.6,12.80822024,22.65
09/16/1961,PGRO,0,27.6,14.8,13.95508421,21.2
09/17/1961,PGRO,0,30.7,16,13.15524766,23.35
09/18/1961,PGRO,0,31.4,14.8,14.96454501,23.1
09/19/1961,PGRO,0,24.3,16,14.05100129,20.15
09/20/1961,PGRO,0,29.2,15.5,11.81166371,22.35
09/21/1961,PGRO,27.2,24.4,14.4,10.9879168,19.4
09/22/1961,PGRO,0,18.8,14,10.82113026,16.4
09/23/1961,PGRO,0,22,13.4,14.09380379,17.7
09/24/1961,PGRO,0,27.4,14.4,15.60597752,20.9
