model,init_month,year,Tmean_Aug_1,Tmean_Aug_2,Tmean_Aug_3,Tmean_Aug_4,Tmean_Oct_1,Tmean_Oct_2,Tmean_Oct_3,Tmean_Oct_4,Tmean_Sep_1,Tmean_Sep_2,Tmean_Sep_3,Tmean_Sep_4,Rain_Aug_1,Rain_Aug_2,Rain_Aug_3,Rain_Aug_4,Rain_Oct_1,Rain_Oct_2,Rain_Oct_3,Rain_Oct_4,Rain_Sep_1,Rain_Sep_2,Rain_Sep_3,Rain_Sep_4,yield
MME,8,2007,14.827676417953047,20.295051271980697,18.917030501875452,16.51767906589028,18.91018919482734,23.553151343277616,22.371785557363292,19.211421214370688,16.27652973265573,22.424364388009344,21.040207308080635,17.687986442909637,152.740518342319,12.612602652995243,24.384702956285086,44.43134525686666,189.1310985835579,174.77649287584904,203.95222054052857,196.38802119976464,173.29987114943785,64.72932991107523,96.5652418316056,102.56294627244048,2669.7547528517107
MME,8,2008,15.405811743855015,21.15590781691355,19.226381952872064,16.83387265939599,19.360450096825463,23.803289386446334,22.515228333827935,19.39279165419603,16.20706404473344,22.327291942780228,20.6361228235698,17.50370813452683,156.9176972938532,52.9009846346988,100.64070102546478,128.96760390703105,218.74170335024758,146.4386121110837,181.0070568474297,182.00583202856404,179.51033218995963,95.71748769468874,130.95626865607085,133.45556616360952,2952.8802569200184
MME,8,2009,14.378198488112112,19.467519806520084,17.856525858045572,15.735727097258394,18.90785025559553,23.269851136351814,21.97722888392043,19.18039878416064,15.96678437985249,21.084110676476218,19.629621210706645,16.850214767246904,180.85843243411693,62.209961793401554,86.25904105828218,110.95943592622417,239.0387158496232,175.7235326093784,216.4833382151994,188.52195987315142,182.5781176100504,88.90944097256386,117.16874034389375,119.28814369490595,2422.380064704976
MME,8,2010,13.797397643849955,20.188403544714802,18.13677065101555,15.083872432752774,18.654119905077053,23.688026299268063,22.234274827421743,19.108142540785153,15.832545721520052,21.711484635040403,19.886199913373655,16.695932616839034,90.08535529335535,27.390330717596655,48.703074614417,89.07242724791476,212.76580230572858,154.5231569370345,186.60486722310094,177.12272098424333,137.74333997928633,88.91508919920763,119.22624988903377,144.4437231900512,3131.9193749028145
MME,8,2011,14.209515889632577,19.012524249424242,16.915205190511106,15.15899959163287,18.18595349016548,23.028529586129746,21.602139394645413,18.652748238234707,15.263707050782168,20.78624946023951,19.10180310622514,16.38618442534345,165.41766211890823,57.4248558536898,141.26275719592712,290.1882101747403,189.36048498618106,149.9703423429995,177.63275127946787,170.2814751799838,198.19795657011636,126.29521277136203,168.91535818485744,171.48857163973298,2914.5221732976884
MME,8,2012,16.598375372938808,20.45962309698316,19.088426988684,16.645909383275338,18.814177898359894,23.34417612300813,22.065101889439703,19.32845557260183,16.70683077725291,21.888961876751235,20.343323919168693,17.831234600387074,103.12533001616328,23.052819163969072,40.448183846391096,55.02447579184895,249.32722341602644,174.5362150430956,206.60398566340552,199.50226920030428,196.67612901077857,104.24369663642345,145.65836740485904,143.5775814035506,2490.2573705179284
MME,8,2013,14.987980629605856,19.707362785581225,18.106150161123896,16.072504663032273,18.91152182542515,23.4106794642507,22.06525806229985,19.288943810218868,16.483845586527913,21.35210263596484,19.876876839196644,17.15153581297217,167.03664120683482,51.220722764065414,77.0753141421211,93.82480856313381,233.58848683793929,175.13656993498773,228.04963954295098,190.20165532718357,161.203269596425,72.84855274495081,104.97380497416367,129.77246567551333,2901.783136429843
MME,8,2014,15.867567000565874,19.886739890030643,18.26981063282733,16.162875228658997,18.9467025635805,23.4367745101727,21.92470224919293,19.290322101522218,16.245217858179196,21.340994999735376,19.66397758731051,17.18469395635284,162.17741007886127,45.30034343649962,68.32078877873421,89.26599355460311,249.15089020260584,213.1599742051917,254.9514768020416,236.98356694985762,197.97901614954904,104.05291179160331,140.02966033934223,139.9597638563195,2270.069098995223
MME,8,2015,18.32156707919656,21.07800465614971,19.436335370877426,17.50584852513716,19.93525264692125,24.254889981355824,22.95069881745613,20.268860271902224,16.795104712615434,21.78464451659561,20.16003040179912,17.72466769373352,131.6284738946131,30.721711421170905,51.720297900196584,66.70841135379476,290.5475552485842,228.55510758738572,271.7550770448575,239.92444113618333,252.15642429501887,145.01208168686537,190.03062595646622,186.9187184187179,2203.187279448832
MME,8,2016,15.356150714036024,20.421905183270166,18.791524580872945,16.096920050596935,19.31377571281411,23.74101877991824,22.33661647532296,19.434240041783745,16.047575028428678,21.62558732251004,19.957357457307413,17.030419099047315,108.77119142278234,37.76469839596501,48.15595229974123,68.76276444962072,220.62186435879804,172.34710047464065,187.9356728645495,176.50946579613696,211.0712048366961,99.54865153695559,143.12846813243357,152.71462878374237,3149.0
MME,9,1993,15.21774193548387,19.224370806451613,17.81935483870968,15.01774193548387,17.98633650253359,22.94772190924797,21.612654443464653,18.398719637130988,14.788881179356718,21.215828671139953,19.56175175501068,16.806010544692995,15.2,8.8,2.2,31.4,247.4889769393723,158.68536196810814,193.0004178250455,195.44245366465,172.24152396918308,102.99771358057062,120.24571587357823,156.59771987248934,2687.363636363636
MME,9,1994,15.691935483870967,20.135483870967743,19.10967741935484,16.08225806451613,18.77443646314101,23.952440953229818,22.568394003201856,19.284972985141472,16.653550418076257,23.240440917482253,21.635804841110055,18.428198533632337,46.0,0.0,1.0,8.6,209.95234689391827,137.85559837595085,161.54978367873562,159.36739516825858,138.25567262793294,43.56807755347131,66.81178844200366,69.0659926154886,2737.7643253234755
MME,9,1995,16.532258064516128,22.29032258064516,20.432258064516127,18.919354838709676,18.81779905757299,24.30503302001769,23.045628778890084,19.728004478609584,16.987119314610073,22.455813016021253,21.469603459819513,17.71922691420874,76.1,19.8,9.7,29.4,180.17226239435206,135.11963780444685,164.46512256826193,160.34291574858906,114.14119591510851,49.4094042188695,60.28075067654082,73.67563281067928,2641.626503047273
MME,9,1996,16.35322580645161,20.43548387096774,19.124193548387098,15.888709677419355,19.059617184780898,23.94736853033593,22.718322370807538,19.347284805428586,13.989295408528148,19.671374287318073,18.07621472632248,15.444332092525583,213.9,26.4,45.5,80.30000000000001,205.249230285158,145.51693103118214,173.94743188924392,167.38208264638322,157.88764651269858,170.83870050786368,184.35751119878933,163.33273636822423,2930.5712898527267
MME,9,1997,16.0,20.26774193548387,18.312903225806455,16.904838709677417,18.623586513138736,23.426062365264812,22.015353296498454,19.286907835102134,16.126074139352788,22.056869416100614,20.551188609597638,17.87831823873027,257.5,41.4,45.8,83.7,272.14678255395745,216.70193460116647,262.83981727101786,220.86494969369522,250.61347068620435,137.2163768240282,162.66223631957482,173.4207681868544,2610.938645418327
MME,9,1998,14.980645161290322,20.374193548387098,18.44193548387097,16.633870967741935,18.45869155198507,23.54006393844587,21.957890978726127,18.973370365641905,16.506578197280728,22.427657227316626,20.394676239668378,17.74992972555098,257.4,118.60000000000001,160.4,212.7,213.58673063265786,173.72519666720635,205.68507791672346,200.46067074867,255.9296244977531,74.85350935034128,157.91141201241123,204.70477387670906,2531.6530114797924
MME,9,1999,14.958064516129031,19.995403709677422,18.700000000000003,15.751612903225807,18.46477925233002,23.31839457504574,21.900832350479284,18.82266008518662,16.512819470123805,21.507400861215178,20.20570207715388,17.611508733836338,19.4,0.0,0.0,3.0,187.1745000620585,146.87981590426043,173.00358919199272,182.15331593286618,210.7247700491801,92.16375192846098,125.9924835804926,126.97105960727805,2881.8055512362
MME,9,2000,14.751612903225807,19.637449677419355,18.54032258064516,15.459677419354838,18.132281619684726,22.705959474325788,21.324754520073885,18.290193651638564,13.841872113790146,18.788262968077152,17.434591183168717,14.804375379963805,83.8,93.3,208.9,110.4,204.48170566540273,155.1278136410506,198.75468731032902,180.8705731964075,143.2429757492928,192.23128336408777,203.3395033557319,219.41502444522095,2340.684178092744
MME,9,2001,17.53548387096774,21.109147384193548,19.804676149354837,17.4741935483871,19.48397206433616,24.44096063937354,23.148344795920078,19.663695630224815,16.874758546445257,22.295525056817315,20.64993709363471,18.013451093280235,146.1,77.9,68.5,77.4,176.3999392507503,120.92467366345207,130.93290092287256,143.63200145563906,227.4181668973492,61.724265701710245,76.90241050606976,100.36097636504836,2737.7903349135954
MME,9,2002,15.87258064516129,22.148387096774194,19.769354838709678,17.281973548387096,19.65818332383506,24.701190751082613,23.195478476322474,20.233771799379102,15.003799008184394,21.092654276201024,19.21048454145403,16.411128315327506,233.8,85.19999999999999,104.0,99.3,255.37345942250315,126.02570391018034,169.29589851539666,168.67336006669856,156.06193949589417,75.15800458379339,92.83349945150655,102.56115553751597,2194.415589353612
MME,9,2003,13.30967741935484,17.925806451612903,15.264516129032257,14.470632741935484,18.57371655334519,22.978601176361774,21.65235418921802,18.688129468396394,15.713713221465616,21.381623096046095,19.778797247868866,16.510558228635034,57.5,47.8,39.0,14.999999999999998,197.19154985576964,187.59250250188106,220.7153501485768,190.77224400828928,127.68945875762374,61.55346332168317,82.33885961177123,101.40506534455103,3097.055387179876
MME,9,2004,15.069354838709677,20.170945161290323,18.12741935483871,16.171545645161288,18.93786764488603,23.958688667611696,22.48652051846065,19.513128856701407,17.310299441222902,23.150856304466384,21.85673760135436,18.459632277390032,53.0,0.2,2.9,16.7,232.5178228814415,151.05281238236125,186.5805628260784,183.08637123376536,148.90710343336357,39.92161499664353,54.03912745254014,77.21402822773362,2692.237029193768
MME,9,2005,16.017741935483873,20.809677419354838,18.708064516129035,17.596045967741937,18.669773960537732,23.92818654349363,22.423014441287084,19.35022718351542,14.97257113826803,21.916131945610616,19.442330231240494,17.084591255870986,135.4,37.300000000000004,35.5,100.1,242.15164288250946,158.98946500357619,191.1318796904087,195.53263966266047,222.11129664387292,75.55883640812905,125.96559461597434,201.43283045454427,2531.334442595674
MME,9,2006,14.714516129032257,21.06935483870968,18.62258064516129,16.351251612903226,18.86870152993471,23.8261076954114,22.595364832710295,19.323904916038952,15.319842366383845,20.894131699632705,19.268493729156997,16.515614781362974,132.20000000000002,17.0,40.0,59.5,224.08380287399962,170.16070131301905,197.26745335020814,181.69262267900095,155.5022123307894,110.0990752823682,135.44991980637843,168.63049032605747,2066.5271253220185
MME,9,2007,13.993548387096775,20.65,18.60483870967742,15.270287903225805,18.716979563026214,23.541250133187393,22.19802848513266,19.216438301475673,18.304525927194327,23.80739106365202,22.445029857882325,18.999292475592856,128.7,12.799999999999999,14.8,22.7,203.56126875375995,171.15419321740765,217.0983519891757,210.83471012164142,108.71799093812926,22.919990340443853,37.57257380590365,50.78500292122656,2669.7547528517107
MME,9,2008,15.546774193548387,20.46451612903226,18.387329032258066,16.82251129032258,18.964000584823104,23.335188294328468,22.01269458728086,19.16255535106907,15.332883215796539,21.743577962730004,19.793729055414765,17.067693578673122,162.5,187.0,285.2,183.1,194.6656458078634,162.77552167222808,173.68957213622642,163.4283201007338,194.93930086999598,80.53759338446348,109.90477412966393,130.37190874350387,2952.8802569200184
MME,9,2009,15.733870967741936,19.30483870967742,18.072580645161292,16.62458080645161,19.49715137888196,23.602579278727035,22.338412120798857,19.502167388887745,17.29494943410289,21.590209386696188,20.256103721578317,18.113925493232056,268.8,90.60000000000001,88.1,99.6,250.0910460719328,138.90891120240846,166.30914220492772,175.65841178801048,310.65170249043564,99.59736957224432,156.22890695926029,158.29986952685786,2422.380064704976
MME,9,2010,14.27258064516129,19.751612903225805,18.682258064516127,15.424524838709678,18.62789613421909,23.419760340967393,21.918075138335503,19.033207147241914,15.640494459829737,22.22302424158681,20.427634880114894,17.084710933034607,316.0,30.6,8.1,35.3,196.66853003824653,177.36223399827986,189.25309400328496,182.8597196541219,169.75614996788917,53.85608480589461,76.55867014035974,104.42718835911238,3131.9193749028145
